CH4,C2H4,C2H2,FAULT
1303.9488,17.9889,0.711,PD
1919.6368,34.2906,3.6813,PD
1105.0836,8.7934,11.1425,PD
4622.383,23.4926,13.9236,PD
4172.061,8.9983,46.3722,PD
1092.4246,14.5886,1.0065,PD
1741.9071,16.2085,14.4981,PD
878.5916,5.6154,10.3226,PD
4322.8315,17.3134,53.4029,PD
1127.8929,4.0922,5.5224,PD
4465.9464,40.2849,34.7221,PD
3070.2624,24.7676,14.6906,PD
567.2087,0.7856,0.5185,PD
1345.6449,10.3974,14.2561,PD
4777.5416,36.3293,16.6699,PD
3786.3416,42.4443,11.7181,PD
4673.6314,22.842,5.0759,PD
2360.7855,32.1649,6.4801,PD
2770.8268,16.3183,11.097,PD
578.5952,2.1442,6.4437,PD
369.3657,0.8363,1.7084,PD
1208.0041,18.8395,1.5974,PD
3772.9015,6.0736,62.6887,PD
3700.008,14.9418,31.8855,PD
4089.0863,19.0855,29.0057,PD
1326.5726,7.0375,7.4047,PD
5204.4358,56.4025,5.4001,PD
2278.6274,36.6666,7.5223,PD
5097.6001,23.5212,41.9141,PD
4875.4854,0.6284,29.8847,PD
838.3684,1.1353,12.8862,PD
1090.943,6.4748,15.3355,PD
2091.5514,12.0174,27.849,PD
3225.7432,2.662,27.6829,PD
4267.5837,24.6759,14.183,PD
3904.0941,54.5301,0.6844,PD
546.6358,0.803,1.2772,PD
3004.8917,39.0305,13.7662,PD
2011.2204,31.2775,4.0902,PD
3681.9652,37.1082,17.9061,PD
1640.0648,2.7363,4.174,PD
4117.7183,15.2337,8.1785,PD
3622.2888,56.5388,22.2249,PD
3758.7143,22.6198,23.0933,PD
4851.3368,46.3788,36.8024,PD
2986.6885,34.0649,19.2734,PD
3745.1732,12.9823,49.7401,PD
1636.6151,16.2905,10.0782,PD
1931.9535,3.9884,16.2728,PD
11.4821,0.0064,0.1335,PD
2077.3242,18.6353,21.9348,PD
426.5511,6.2917,1.4312,PD
912.7275,10.7912,4.4913,PD
2083.6121,32.1501,3.1219,PD
2986.667,25.4383,16.7159,PD
1308.9882,12.2696,1.3197,PD
4105.0072,41.2593,43.5775,PD
1255.7584,8.9487,6.4692,PD
377.1904,3.7409,2.1155,PD
1185.4903,11.3261,2.9967,PD
1959.9481,5.6101,24.0892,PD
4383.9342,19.8653,54.8952,PD
2736.3022,2.3654,39.0564,PD
1720.0157,14.0002,0.927,PD
2848.7077,24.717,8.0333,PD
3706.8621,3.8224,26.2183,PD
106.7659,0.4871,0.1706,PD
3600.6844,30.1591,15.5208,PD
4332.1383,53.061,8.6754,PD
3473.4188,43.8168,5.4821,PD
2062.9104,26.1842,14.5343,PD
3872.0986,34.6276,33.556,PD
2228.9102,12.4652,22.3027,PD
4154.7149,69.0461,7.7774,PD
4007.8088,29.6102,2.5595,PD
63.9112,0.6377,0.3469,PD
3475.4472,7.5575,54.8627,PD
2850.5088,31.5278,17.6206,PD
3326.5695,39.2137,21.8571,PD
2782.4394,6.7698,6.1264,PD
4819.5196,11.4926,66.2437,PD
829.8884,1.4634,3.9706,PD
4271.3072,58.3872,11.1002,PD
851.3153,4.9613,8.1633,PD
4599.5604,42.5709,30.7128,PD
2549.9808,35.1645,12.4962,PD
3894.7579,22.324,43.0623,PD
805.5957,9.3979,2.734,PD
1185.8447,10.7824,6.7368,PD
3405.3575,10.4283,32.885,PD
3764.5656,0.8774,21.6686,PD
204.4265,1.8412,0.3227,PD
215.8564,2.255,1.1636,PD
2261.0102,12.8812,30.4443,PD
1723.8793,9.5117,10.2339,PD
911.2527,6.6176,7.9758,PD
2888.1717,35.8511,11.5534,PD
795.0613,7.896,3.5809,PD
4118.0198,34.687,9.7927,PD
4547.5986,35.1558,37.4275,PD
1350.2989,2.8092,25.188,PD
2601.0014,22.594,8.0725,PD
969.3427,5.6671,5.8616,PD
3787.0576,58.9671,3.1934,PD
3509.1679,22.0409,31.2089,PD
3705.3371,16.8949,21.0855,PD
502.0894,5.6274,4.3112,PD
732.9491,1.5768,5.779,PD
4420.317,10.8964,7.3333,PD
59.2108,0.153,0.2988,PD
3119.1693,3.1797,39.6612,PD
2301.2396,0.3365,18.8514,PD
1478.2811,1.3062,25.391,PD
3445.4277,22.6914,44.402,PD
2201.9997,22.5461,12.7577,PD
2891.4062,5.9491,7.6134,PD
4034.333,60.7569,22.0374,PD
4502.1172,29.0926,11.7295,PD
3356.5396,8.3773,48.471,PD
4368.7583,15.1451,5.1339,PD
519.8689,0.5412,4.8407,PD
1914.9012,27.6208,6.3345,PD
1806.4461,37.2747,1.2855,PD
889.2497,3.2254,7.5663,PD
2706.4827,21.3831,36.7965,PD
4203.8005,8.1418,19.9908,PD
1190.0914,2.0612,3.0291,PD
809.9739,1.3894,5.7188,PD
3823.8029,37.0388,37.0967,PD
4068.1358,72.6378,3.3755,PD
2315.3548,46.1501,2.9152,PD
412.3474,6.7119,0.5854,PD
1729.9164,11.7766,17.7732,PD
3661.5101,39.9834,7.2658,PD
2129.0741,27.047,9.6606,PD
2175.7145,15.4491,3.8427,PD
3815.3453,69.232,5.7997,PD
1527.9342,9.8803,19.0795,PD
2717.9479,25.1898,19.454,PD
4459.3559,15.1487,69.4879,PD
4826.892,56.3248,2.3148,PD
1544.0016,19.8085,10.6527,PD
2903.8559,21.7325,8.5836,PD
1899.6951,9.6701,12.7948,PD
808.6699,0.9591,0.8065,PD
2096.7412,19.3308,20.1927,PD
3349.6522,20.1022,17.837,PD
46.1713,0.0882,0.546,PD
50.0682,0.0842,0.3126,PD
4289.2447,35.2222,44.1203,PD
4868.4594,3.0708,1.747,PD
529.973,5.6906,5.1201,PD
3972.4206,75.0311,7.4737,PD
1640.3793,7.766,10.593,PD
691.7216,10.4939,3.6461,PD
3805.3866,45.6261,14.2684,PD
3250.1942,15.7486,37.505,PD
288.0811,0.9316,1.5825,PD
2862.7422,16.2773,25.4835,PD
701.3895,1.1961,7.7195,PD
1219.2506,10.3242,4.3167,PD
1708.2412,2.7903,14.2128,PD
3270.4389,1.3123,6.5779,PD
689.8018,0.6461,8.6066,PD
4485.0109,8.6846,58.4274,PD
3133.4374,26.7025,33.2952,PD
4701.2797,6.6311,19.1234,PD
1757.9634,27.8915,5.1681,PD
2124.1238,32.768,6.9588,PD
3671.009,22.7241,20.6916,PD
1900.7733,13.2068,11.3423,PD
1263.5348,19.5136,3.5111,PD
3606.038,57.6197,20.5389,PD
273.8383,1.776,0.1587,PD
4869.2496,34.3969,2.7465,PD
385.9922,3.8092,0.0429,PD
534.8563,5.0677,5.5305,PD
2113.2588,1.1161,36.9395,PD
2177.6813,7.0189,6.0968,PD
4472.2566,60.8368,8.3546,PD
3384.0318,9.499,27.6036,PD
3670.7068,47.1539,26.2421,PD
2851.4088,16.0914,2.5331,PD
3266.0354,6.8784,45.925,PD
214.9711,1.3175,1.4346,PD
3534.6635,30.6674,19.9524,PD
2674.1896,1.9068,44.8464,PD
414.1561,3.0548,2.6742,PD
1609.8255,3.036,23.7638,PD
355.1256,5.1657,0.236,PD
3579.2077,17.6231,42.8598,PD
2009.6748,11.8496,19.8307,PD
1921.5967,18.1537,18.6305,PD
4186.0976,39.0135,10.3706,PD
2863.5334,18.0664,3.6463,PD
732.3924,0.2712,2.8502,PD
419.4624,2.3359,5.5765,PD
3767.7195,12.5019,64.7984,PD
1804.722,3.9718,24.046,PD
1666.4577,2.2339,5.7115,PD
1510.4809,14.8598,3.606,PD
137.8152,0.4681,2.5326,PD
2508.4971,4.6822,34.2182,PD
3258.2674,5.1486,51.2863,PD
1031.363,3.9387,10.3048,PD
1573.0296,2.7682,17.2737,PD
1303.5737,1.8058,14.9461,PD
3760.8804,32.2483,23.874,PD
4700.5397,30.1683,2.0911,PD
2611.3045,16.6481,2.4945,PD
2248.4972,5.0648,38.1487,PD
2685.4298,9.5413,21.3177,PD
1488.9427,3.5307,20.1813,PD
4792.6352,55.8976,31.889,PD
668.2176,6.597,0.6243,PD
1647.3696,10.857,18.3087,PD
1745.5981,20.0173,10.4427,PD
4895.2727,3.2287,68.4093,PD
2520.0786,33.5451,1.3235,PD
2715.809,12.9384,42.9631,PD
3093.8141,56.0289,9.4405,PD
4800.1567,2.1871,66.3531,PD
1666.2621,1.1278,6.5659,PD
3957.2062,13.0521,28.2132,PD
1233.9775,12.186,5.1295,PD
1069.0308,3.1043,5.8902,PD
3298.9499,15.4991,8.6746,PD
3455.4455,10.3837,19.7562,PD
2850.9317,21.0357,10.2689,PD
1230.2315,7.9014,14.6331,PD
3496.3152,51.8618,8.2866,PD
2836.01,51.4049,5.5032,PD
4868.4836,71.8599,16.157,PD
4878.6973,27.675,44.084,PD
2202.0847,1.3719,7.7577,PD
4477.2351,60.3413,15.0667,PD
1551.3187,3.5775,4.3759,PD
572.9805,7.8196,0.7457,PD
4398.4819,23.5394,10.2753,PD
3788.5001,4.2058,11.5522,PD
3127.1287,12.8901,37.1888,PD
2270.0068,34.7546,3.7042,PD
725.2535,3.3319,8.1465,PD
291.9169,1.7817,2.8208,PD
4235.9633,82.8329,6.7231,PD
4787.6107,45.8177,44.4528,PD
3285.3745,2.3268,44.1271,PD
1013.7199,3.4157,15.7953,PD
2749.1939,20.519,28.2977,PD
3934.5047,56.4523,9.7,PD
3083.021,4.6711,2.0872,PD
1145.8222,5.7961,5.1314,PD
3021.4312,33.268,18.4879,PD
334.2246,0.4719,2.0126,PD
2625.9428,21.9277,21.7977,PD
1933.0554,25.6363,13.8486,PD
1532.809,1.5481,27.3644,PD
1149.334,12.2614,3.4982,PD
3384.5505,55.9247,6.8912,PD
1760.9228,1.3771,31.0994,PD
1883.6973,6.1342,28.487,PD
532.4842,2.6397,5.2646,PD
1036.4246,2.8431,13.4068,PD
737.7458,5.5977,6.7784,PD
3239.8452,12.3967,48.2212,PD
873.7973,6.3783,8.6289,PD
2724.29,1.5074,46.0785,PD
3352.9453,4.2789,41.1555,PD
454.1249,7.9877,1.0545,PD
1913.0746,26.7248,10.753,PD
1887.6298,25.1974,3.2785,PD
2946.4182,2.2114,44.6528,PD
402.8808,3.666,0.3584,PD
3440.8115,14.0255,50.7593,PD
4435.8021,45.698,51.4401,PD
1458.8141,20.8174,0.7953,PD
3625.9879,0.3644,10.6623,PD
1510.2492,3.1003,0.1514,PD
135.6597,0.9249,1.1691,PD
1425.1039,3.6087,12.0227,PD
1775.8544,18.0163,6.4704,PD
373.1747,1.3527,3.8905,PD
519.5096,5.7822,2.0697,PD
4270.993,14.2347,25.7193,PD
5147.832,4.0804,31.2529,PD
1176.8845,5.2045,13.8073,PD
3379.5949,23.3748,37.0023,PD
1480.9115,15.0503,13.4429,PD
2999.4378,10.3695,32.7496,PD
4855.5706,73.3288,7.3356,PD
1882.1888,5.3819,29.1608,PD
2952.2534,33.5023,23.6471,PD
4701.0876,2.072,69.8869,PD
2896.4694,14.4815,29.6353,PD
122.5085,0.8579,0.9822,PD
2383.6327,16.862,10.3267,PD
3767.5515,14.4448,24.9146,PD
4646.435,55.4911,15.292,PD
943.0622,0.5399,6.9695,PD
2870.839,31.5681,11.1509,PD
4133.3421,0.9911,8.8149,PD
2990.5647,12.6166,37.2748,PD
577.7459,0.2019,1.652,PD
675.1085,3.9998,5.9648,PD
1549.8213,12.3073,4.3327,PD
3329.4765,18.6396,33.8603,PD
3673.7858,4.9361,2.3643,PD
598.0752,6.015,1.285,PD
3563.2565,62.2144,2.8036,PD
3995.1557,24.2851,29.7381,PD
3576.7725,27.7816,23.5018,PD
297.0332,0.6095,1.2752,PD
4585.7333,13.7437,21.46,PD
4080.856,71.9747,11.5707,PD
1311.6228,5.3821,15.9344,PD
2445.0879,46.0674,4.7084,PD
1645.509,4.5684,22.7984,PD
1405.701,8.5135,5.7913,PD
1746.9293,10.355,15.6738,PD
4522.1103,43.5227,0.0609,PD
4430.0636,54.5368,14.2381,PD
2217.1783,32.1285,0.0534,PD
